name	straight	wellTyped	module	tsc	run	sync	lean	host	leanSchedule	hostSchedule	types	note
g0	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'boolean' is not assignable to parameter of type 'Fiber<unknown, unknown>'.
g1	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'void' is not assignable to parameter of type 'Fiber<unknown, unknown>'.
g2	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'number' is not assignable to parameter of type 'Fiber<unknown, unknown>'.
g3	no	yes	decl	clean	agree	agree	success null	success null	started 0,parked 0,ran 0,resumed 0,started 0,exited 0 success	started 0,parked 0,ran 0,resumed 0,started 0,exited 0 success	agree	same value
g4	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'boolean' is not assignable to parameter of type 'Fiber<unknown, unknown>'.
g5	yes	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'readonly [undefined, 1]' is not assignable to parameter of type 'number'.
g6	no	no	expr	clean	untyped	n/a	{"failure":{"reasons":[{"fail":{"boom":null}}]}}	not run			untyped	
g7	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"missingService"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'string' is not assignable to parameter of type 'number'.
g8	no	no	expr	errors	untyped	n/a	{"success":null}	not run			untyped	tsc: error TS2345: Argument of type 'boolean' is not assignable to parameter of type 'readonly [unknown, unknown]'.
g9	no	no	expr	errors	untyped	n/a	{"success":"hi"}	not run			untyped	tsc: error TS2345: Argument of type 'number' is not assignable to parameter of type 'Fiber<unknown, unknown>'.
g10	no	no	expr	errors	untyped	n/a	{"success":{"failure":{"reasons":[{"die":"badName"}]}}}	not run			untyped	tsc: error TS2345: Argument of type 'number' is not assignable to parameter of type 'boolean'.
g11	no	yes	decl	clean	agree	agree	die [{"die":"missingService"}]	die [{"die":"missingService"}]	started 0,exited 0 die	started 0,exited 0 die	agree	same failure reasons and payloads
g12	no	no	expr	clean	untyped	n/a	{"failure":{"reasons":[{"fail":{"boom":null}}]}}	not run			untyped	
g13	no	no	expr	errors	untyped	n/a	{"success":null}	not run			untyped	tsc: error TS2345: Argument of type 'undefined' is not assignable to parameter of type 'readonly [unknown, unknown]'.
g14	no	no	expr	errors	untyped	n/a	{"success":{"fiber":1}}	not run			untyped	tsc: error TS2345: Argument of type 'boolean' is not assignable to parameter of type 'Scope'.
g15	no	yes	decl	clean	agree	agree	success {"fiber":1}	success {"fiber":1}	started 0,forked 0 1,started 1,exited 1 success,exited 0 success	started 0,forked 0 1,started 1,exited 1 success,exited 0 success	agree	same value
g16	yes	yes	decl	clean	agree	agree	success null	success null	started 0,exited 0 success	started 0,exited 0 success	mismatch-A	same value
g17	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'undefined' is not assignable to parameter of type 'number'.
g18	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2873: This kind of expression is always falsy.
g19	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'number' is not assignable to parameter of type 'Ref<unknown>'.
g20	yes	yes	decl	clean	agree	agree	fail [{"fail":19}]	fail [{"fail":19}]	started 0,exited 0 fail	started 0,exited 0 fail	agree	runSyncExit built no fiber: a bare Exit is returned as is (`effectIsExit`, internal/effect.ts:5539); the compared schedule is the runFork entry's, which does start one; same failure reasons and payloads
g21	no	yes	decl	clean	agree	agree	die [{"die":"missingService"}]	die [{"die":"missingService"}]	started 0,exited 0 die	started 0,exited 0 die	refused	same failure reasons and payloads; types refused: program-type-metadata missing-type-metadata/R: Error: noninjective service binding: 8:4 and 11:4 both map to number
g22	no	no	expr	errors	untyped	n/a	{"success":null}	not run			untyped	tsc: error TS2769: No overload matches this call.
g23	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2322: Type 'number' is not assignable to type 'boolean'.
g24	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"missingService"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'boolean' is not assignable to parameter of type 'Fiber<unknown, unknown>'.
g25	yes	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'Deferred<unknown, unknown>'.
g26	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"missingService"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'string' is not assignable to parameter of type 'Deferred<unknown, unknown>'.
g27	yes	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'Deferred<unknown, unknown>'.
g28	no	no	expr	errors	untyped	n/a	{"success":null}	not run			untyped	tsc: error TS2322: Type 'number' is not assignable to type 'boolean'.
g29	yes	no	expr	clean	untyped	n/a	{"failure":{"reasons":[{"fail":{"boom":null}}]}}	not run			untyped	
g30	no	no	expr	clean	untyped	n/a	{"failure":{"reasons":[{"die":"missingService"}]}}	not run			untyped	
g31	yes	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'number' is not assignable to parameter of type 'Deferred<unknown, unknown>'.
g32	no	no	expr	errors	untyped	n/a	{"success":null}	not run			untyped	tsc: error TS2345: Argument of type 'undefined' is not assignable to parameter of type 'readonly [boolean, unknown]'.
g33	yes	yes	decl	clean	agree	agree	fail [{"fail":10}]	fail [{"fail":10}]	started 0,exited 0 fail	started 0,exited 0 fail	agree	runSyncExit built no fiber: a bare Exit is returned as is (`effectIsExit`, internal/effect.ts:5539); the compared schedule is the runFork entry's, which does start one; same failure reasons and payloads
g34	no	no	expr	clean	untyped	n/a	{"failure":{"reasons":[{"fail":{"boom":null}}]}}	not run			untyped	
g35	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'boolean' is not assignable to parameter of type 'number'.
g36	no	no	expr	errors	untyped	n/a	{"success":{"fiber":3}}	not run			untyped	tsc: error TS2345: Argument of type 'string' is not assignable to parameter of type 'readonly [unknown, string | number]'.
g37	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'string' is not assignable to parameter of type 'Iterable<Fiber<any, any>>'.
g38	no	yes	decl	errors	agree	agree	success {"context":true}	success {"context":true}	started 0,exited 0 success	started 0,exited 0 success	refused	same value; tsc: error TS2375: Type 'Effect<Context<unknown>, never, unknown>' is not assignable to type 'Effect<Context<unknown>, never, never>' with 'exactOptionalPropertyTypes: true'. Consider adding 'undefined' to the types of the target's properties.; types refused: unresolved-unknown/A: expected A contains unknown
g39	no	no	expr	errors	untyped	n/a	{"success":{"fiber":1}}	not run			untyped	tsc: error TS2345: Argument of type 'number' is not assignable to parameter of type 'readonly [unknown, unknown]'.
g40	no	no	expr	errors	untyped	n/a	{"success":0}	not run			untyped	tsc: error TS2322: Type 'number' is not assignable to type 'boolean'.
g41	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'string' is not assignable to parameter of type 'Fiber<unknown, unknown>'.
g42	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'number' is not assignable to parameter of type 'Deferred<unknown, unknown>'.
g43	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'number' is not assignable to parameter of type 'Fiber<unknown, unknown>'.
g44	yes	yes	decl	clean	agree	agree	interrupt [{"interrupt":null}]	interrupt [{"interrupt":null}]	started 0,exited 0 interrupt	started 0,exited 0 interrupt	agree	runSyncExit built no fiber: a bare Exit is returned as is (`effectIsExit`, internal/effect.ts:5539); the compared schedule is the runFork entry's, which does start one; same failure reasons and payloads
g45	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2872: This kind of expression is always truthy.
g46	no	no	expr	errors	untyped	n/a	{"success":null}	not run			untyped	tsc: error TS2322: Type 'number' is not assignable to type 'boolean'.
g47	no	no	expr	errors	untyped	n/a	{"success":null}	not run			untyped	tsc: error TS2322: Type 'number' is not assignable to type 'boolean'.
g48	no	no	expr	errors	untyped	n/a	{"success":null}	not run			untyped	tsc: error TS2322: Type 'number' is not assignable to type 'boolean'.
g49	yes	yes	decl	clean	agree	agree	fail [{"fail":12}]	fail [{"fail":12}]	started 0,exited 0 fail	started 0,exited 0 fail	mismatch-A	same failure reasons and payloads
g50	no	yes	decl	clean	agree	agree	die [{"die":"missingService"}]	die [{"die":"missingService"}]	started 0,exited 0 die	started 0,exited 0 die	mismatch-R	same failure reasons and payloads
g51	no	no	expr	errors	untyped	n/a	{"success":null}	not run			untyped	tsc: error TS2769: No overload matches this call.
g52	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"},{"die":"missingService"}]}}	not run			untyped	tsc: error TS1107: Jump target cannot cross function boundary.
g53	no	yes	decl	clean	agree	agree	success {"fiber":1}	success {"fiber":1}	started 0,forked 0 1,started 1,exited 1 fail,exited 0 success	started 0,forked 0 1,started 1,exited 1 fail,exited 0 success	agree	same value
g54	no	yes	decl	clean	agree	agree	success {"fiber":1}	success {"fiber":1}	started 0,forked 0 1,started 1,exited 1 success,exited 0 success	started 0,forked 0 1,started 1,exited 1 success,exited 0 success	agree	same value
g55	yes	yes	decl	clean	agree	agree	success null	success null	started 0,exited 0 success	started 0,exited 0 success	mismatch-A	same value
g56	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2873: This kind of expression is always falsy.
g57	yes	yes	decl	clean	agree	agree	success 11	success 11	started 0,exited 0 success	started 0,exited 0 success	agree	runSyncExit built no fiber: a bare Exit is returned as is (`effectIsExit`, internal/effect.ts:5539); the compared schedule is the runFork entry's, which does start one; same value
g58	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"missingService"},{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'number' is not assignable to parameter of type 'Fiber<unknown, unknown>'.
g59	yes	yes	decl	clean	agree	agree	success 11	success 11	started 0,exited 0 success	started 0,exited 0 success	agree	same value
g60	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'string' is not assignable to parameter of type 'Fiber<unknown, unknown>'.
g61	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'number' is not assignable to parameter of type 'Ref<number>'.
g62	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"},{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'boolean' is not assignable to parameter of type 'number'.
g63	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"missingService"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'number' is not assignable to parameter of type 'Fiber<unknown, unknown>'.
g64	no	no	expr	errors	untyped	n/a	{"success":null}	not run			untyped	tsc: error TS2322: Type 'number' is not assignable to type 'boolean'.
g65	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'number' is not assignable to parameter of type 'Scope'.
g66	no	yes	decl	clean	agree	agree	success null	success null	started 0,parked 0,ran 0,resumed 0,started 0,exited 0 success	started 0,parked 0,ran 0,resumed 0,started 0,exited 0 success	agree	same value
g67	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'boolean' is not assignable to parameter of type 'Fiber<unknown, unknown>'.
g68	yes	yes	decl	clean	agree	agree	fail [{"fail":10}]	fail [{"fail":10}]	started 0,exited 0 fail	started 0,exited 0 fail	agree	runSyncExit built no fiber: a bare Exit is returned as is (`effectIsExit`, internal/effect.ts:5539); the compared schedule is the runFork entry's, which does start one; same failure reasons and payloads
g69	no	no	expr	clean	untyped	n/a	{"failure":{"reasons":[{"die":"missingService"}]}}	not run			untyped	
g70	yes	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'Ref<unknown>'.
g71	no	no	expr	errors	untyped	n/a	{"success":null}	not run			untyped	tsc: error TS2322: Type 'number' is not assignable to type 'boolean'.
g72	yes	yes	decl	clean	agree	agree	fail [{"fail":1}]	fail [{"fail":1}]	started 0,exited 0 fail	started 0,exited 0 fail	agree	runSyncExit built no fiber: a bare Exit is returned as is (`effectIsExit`, internal/effect.ts:5539); the compared schedule is the runFork entry's, which does start one; same failure reasons and payloads
g73	yes	yes	decl	clean	agree	agree	success {"success":"hi"}	success {"success":"hi"}	started 0,exited 0 success	started 0,exited 0 success	agree	same value
g74	no	yes	decl	clean	agree	agree	die [{"die":"missingService"}]	die [{"die":"missingService"}]	started 0,exited 0 die	started 0,exited 0 die	agree	same failure reasons and payloads
g75	no	yes	decl	clean	agree	agree	success 9	success 9	started 0,exited 0 success	started 0,exited 0 success	agree	same value
g76	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"},{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'boolean' is not assignable to parameter of type 'number'.
g77	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"missingService"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'boolean' is not assignable to parameter of type 'number'.
g78	no	yes	decl	clean	agree	agree	success {"fiber":1}	success {"fiber":1}	started 0,forked 0 1,started 1,parked 1,exited 0 success,ran 1,resumed 1,started 1,exited 1 success	started 0,forked 0 1,started 1,parked 1,exited 0 success,ran 1,resumed 1,started 1,exited 1 success	agree	same value
g79	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'Cause<never>' is not assignable to parameter of type 'number'.
g80	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'number' is not assignable to parameter of type 'Fiber<unknown, unknown>'.
g81	no	yes	decl	clean	differ	differs	success 0	success 1	started 0,exited 0 success	started 0,exited 0 success	agree	same kind, values differ; runFork entry disagrees too: same kind, values differ
g82	no	no	expr	errors	untyped	n/a	{"success":{"fiber":1}}	not run			untyped	tsc: error TS2345: Argument of type 'number' is not assignable to parameter of type 'Iterable<Fiber<any, any>>'.
g83	yes	yes	decl	clean	agree	agree	fail [{"fail":4}]	fail [{"fail":4}]	started 0,exited 0 fail	started 0,exited 0 fail	agree	runSyncExit built no fiber: a bare Exit is returned as is (`effectIsExit`, internal/effect.ts:5539); the compared schedule is the runFork entry's, which does start one; same failure reasons and payloads
g84	no	no	expr	errors	untyped	n/a	{"success":{"fiber":1}}	not run			untyped	tsc: error TS2345: Argument of type 'undefined' is not assignable to parameter of type 'Iterable<Fiber<any, any>>'.
g85	no	no	expr	errors	untyped	n/a	{"success":null}	not run			untyped	tsc: error TS2322: Type 'number' is not assignable to type 'boolean'.
g86	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'number' is not assignable to parameter of type 'Deferred<unknown, unknown>'.
g87	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'readonly [Fiber<never, string>, "hi"]' is not assignable to parameter of type 'Fiber<unknown, unknown>'.
g88	no	no	expr	errors	untyped	n/a	{"failure":{"reasons":[{"die":"badName"}]}}	not run			untyped	tsc: error TS2345: Argument of type 'number' is not assignable to parameter of type 'readonly [unknown, unknown]'.
