lean	ocaml	recursive	Code.let	Code.fun	Code.jp	Code.jmp	Code.cases	Code.return	Code.unreach	LetValue.lit	LetValue.erased	LetValue.proj	LetValue.const	LetValue.fvar	LitValue.nat	LitValue.str	LitValue.uint8	LitValue.uint16	LitValue.uint32	LitValue.uint64	LitValue.usize	Arg.erased	Arg.fvar	Arg.type	Alt.alt	Alt.default	DeclValue.code	DeclValue.extern	declHash
Effect4.Machine.Dispatcher.empty	dispatcher_empty	false	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	9	2	0	0	0	1	0	7000260313920518814
Effect4.Machine.Dispatcher.insert._redArg	dispatcher_insert	true	18	0	0	0	4	4	0	0	0	0	18	0	0	0	0	0	0	0	0	35	31	0	7	0	1	0	13496410516090440961
Effect4.Machine.Dispatcher.enqueue._redArg	dispatcher_enqueue	false	3	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	8	5	0	1	0	1	0	12478501020718194042
Effect4.Machine.Dispatcher.drain._redArg	dispatcher_drain	false	8	0	0	0	1	1	0	1	0	0	7	0	1	0	0	0	0	0	0	12	9	0	1	0	1	0	5932509194067731258
Effect4.Machine.RunFiber.interruptPending._redArg	run_fiber_interrupt_pending	false	3	0	0	0	4	3	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	6	0	1	0	7345638629227397635
Effect4.Machine.RunFiber.make._redArg	run_fiber_make	false	8	0	0	0	2	1	0	1	0	0	6	1	1	0	0	0	0	0	0	20	18	0	2	0	1	0	17350230314552396264
Effect4.Machine.RunFiber.park._redArg	run_fiber_park	false	5	0	0	0	2	1	0	0	0	0	5	0	0	0	0	0	0	0	0	12	21	0	2	0	1	0	6344182728906462122
Effect4.Machine.RunMachine.fiber?._redArg	run_machine_fiber_opt	false	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	16875794996647587081
Effect4.Machine.RunMachine.update._redArg	run_machine_update	false	3	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	13	13	0	1	0	1	0	1357398055288855138
Effect4.Machine.RunMachine.emit._redArg	run_machine_emit	false	4	0	0	0	2	2	0	0	0	0	4	0	0	0	0	0	0	0	0	24	23	0	3	0	1	0	14150212693949482746
Effect4.Machine.RunMachine.modify._redArg	run_machine_modify	false	3	0	0	0	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	5	0	2	0	1	0	2050510441136222151
Effect4.Machine.RunMachine.halt._redArg	run_machine_halt	false	2	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	13	11	0	1	0	1	0	11638282387332510252
Effect4.Machine.RunMachine.race?._redArg	run_machine_race_opt	false	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	9278012745488089775
Effect4.Machine.RunMachine.updateRace._redArg	run_machine_update_race	false	3	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	13	13	0	1	0	1	0	17256736422614346285
Effect4.Machine.RunMachine.finished._redArg	run_machine_finished	false	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	17748749744915858527
Effect4.Machine.RunMachine.empty._redArg	run_machine_empty	false	5	0	0	0	0	1	0	1	0	0	4	0	1	0	0	0	0	0	0	14	10	0	0	0	1	0	373907929816127842
Effect4.Machine.RunMachine.arm._redArg	run_machine_arm	false	6	0	0	0	2	2	0	0	0	0	6	0	0	0	0	0	0	0	0	26	26	0	3	0	1	0	16138671965455461924
Effect4.Machine.RunMachine.disarm._redArg	run_machine_disarm	false	3	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	13	13	0	1	0	1	0	12083150575203077176
Effect4.Machine.interruptRecord._redArg	interrupt_record	false	22	0	1	2	7	4	0	0	0	0	15	7	0	0	0	0	0	0	0	39	80	0	11	0	1	0	14458359603500388872
Effect4.Machine.interruptEach._redArg	interrupt_each	false	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	7423614074240752475
Effect4.Machine.countdownWalk._redArg	countdown_walk	true	11	0	0	0	4	4	0	0	0	0	11	0	0	0	0	0	0	0	0	10	19	0	7	0	1	0	8122022715038079825
Effect4.Machine.countdownPark._redArg	countdown_park	false	25	0	0	0	10	2	0	1	0	0	21	3	1	0	0	0	0	0	0	59	86	0	11	0	1	0	905811689724263600
Effect4.Machine.spawn._redArg	spawn	false	17	0	1	3	7	1	0	1	0	0	14	2	1	0	0	0	0	0	0	29	42	0	9	0	1	0	17172281441363958234
Effect4.Machine.start._redArg	start	false	16	0	0	0	2	2	0	1	0	0	15	0	1	0	0	0	0	0	0	48	40	0	3	0	1	0	8038443494521024273
Effect4.Machine.launchEntrant._redArg	launch_entrant	false	5	0	0	0	2	1	0	0	0	0	5	0	0	0	0	0	0	0	0	2	12	0	2	0	1	0	7132313727364813966
Effect4.Machine.linkScope._redArg	link_scope	false	38	0	1	2	12	7	0	0	0	0	36	2	0	0	0	0	0	0	0	74	80	0	19	0	1	0	1855359736829955644
Effect4.Machine.runloopTop._redArg	runloop_top	false	3	0	0	0	3	2	0	0	0	0	1	2	0	0	0	0	0	0	0	10	18	0	4	0	1	0	9893076378761291543
Effect4.Machine.countOp._redArg	count_op	false	3	0	0	0	1	1	0	1	0	0	2	0	1	0	0	0	0	0	0	10	18	0	1	0	1	0	458961790364263576
Effect4.Machine.yieldVerdict._redArg	yield_verdict	false	1	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	3	0	1	0	4404553126917590414
Effect4.Machine.injectYield._redArg	inject_yield	false	16	0	0	0	5	4	0	0	0	0	13	3	0	0	0	0	0	0	0	46	33	0	8	0	1	0	7989803722941564862
Effect4.Machine.evaluatePrim._redArg	evaluate_prim	false	123	0	4	8	32	16	0	3	0	0	112	8	3	0	0	0	0	0	0	547	437	0	49	2	1	0	15918661693304691224
Effect4.Machine.iteration._redArg	iteration	false	7	0	0	0	2	2	0	0	0	0	5	2	0	0	0	0	0	0	0	8	15	0	3	0	1	0	15127739213210010923
Effect4.Machine.fireObserver._redArg	fire_observer	false	73	0	3	7	25	13	0	0	0	0	69	4	0	0	0	0	0	0	0	143	210	0	39	2	1	0	10219102880812661660
Effect4.Machine.exitFiber._redArg	exit_fiber	false	5	0	0	0	5	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	21	0	8	0	1	0	3805521407807632998
Effect4.Machine.settle._redArg	settle	false	44	0	0	0	6	7	0	0	0	0	43	1	0	0	0	0	0	0	0	85	115	0	12	0	1	0	6978359473204990484
Effect4.Machine.drive._redArg	drive	false	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	1	0	1	0	3081557379565599808
Effect4.Machine.stepDecision._redArg	step_decision	false	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	1	0	1	0	7944297315814465247
Effect4.Machine.replayEval._redArg	replay_eval	true	10	0	0	0	8	6	0	0	0	0	10	0	0	0	0	0	0	0	0	60	30	0	13	0	1	0	2528464673932440538
Effect4.Machine.runFork._redArg	run_fork	false	16	0	0	0	2	1	0	1	0	0	14	1	1	0	0	0	0	0	0	34	41	0	2	0	1	0	297144361342463112
Effect4.Machine.runCallback._redArg	run_callback	false	24	0	0	0	3	1	0	2	0	0	21	1	2	0	0	0	0	0	0	54	62	0	3	0	1	0	290245445407820592
Effect4.Machine.runSyncExit._redArg	run_sync_exit	false	7	0	1	2	5	2	0	0	0	0	7	0	0	0	0	0	0	0	0	9	30	0	7	0	1	0	11240237217367196200
